NumberThread, Run1, Run2, Run3, Run4, Run5
2,1.74,1.73,1.73,1.71,1.73
4,0.86,0.87,0.87,0.87,0.87
8,0.43,0.43,0.43,0.43,0.43
16,0.24,0.24,0.24,0.24,0.24
32,0.27,0.28,0.24,0.27,0.24
