NumberThread, Run1, Run2, Run3, Run4, Run5
2,0.08,0.16,0.15,0.15,0.16
4,0.35,0.46,0.32,0.36,0.32
8,1.38,0.70,0.72,1.37,1.29
16,2.59,2.32,3.08,2.22,2.26
32,7.84,8.91,8.43,8.79,7.68
