NumberThread, Run1, Run2, Run3, Run4, Run5
2,1.72,1.73,1.72,1.72,1.70
4,0.88,0.86,0.87,0.86,0.87
8,0.43,0.44,0.43,0.43,0.43
16,0.24,0.24,0.24,0.24,0.25
32,0.25,0.25,0.25,0.25,0.25
