NumberThread, Run1, Run2, Run3, Run4, Run5
2,1.21,0.04,0.05,0.04,0.44
4,0.24,0.10,0.29,1.15,0.04
8,0.37,0.23,0.62,0.63,0.08
16,8.36,4.62,7.58,70.57,0.02
32,0.11,0.15,0.01,0.01,0.01
