NumberThread, Run1, Run2, Run3, Run4, Run5
2,1.77,1.74,1.73,1.77,1.76
4,0.89,0.88,0.89,0.88,0.88
8,0.44,0.44,0.44,0.44,0.44
16,0.24,0.24,0.24,0.24,0.24
32,0.29,0.30,0.24,0.25,0.24
