NumberThread, Run1, Run2, Run3, Run4, Run5
2,0.03,0.03,0.03,0.03,0.03
4,0.01,0.01,0.02,0.01,0.01
8,0.01,0.01,0.01,0.01,0.01
16,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00
