NumberThread, Run1, Run2, Run3, Run4, Run5
1,0.39,0.39,0.40,0.40,0.39
2,0.39,0.39,0.39,0.39,0.39
4,0.39,0.39,0.40,0.40,0.40
8,0.41,0.41,0.40,0.40,0.40
16,0.40,0.41,0.40,0.40,0.40
32,0.60,0.56,0.57,0.80,0.77
