NumberThread, Run1, Run2, Run3, Run4, Run5
2,0.19,0.11,0.18,0.08,0.10
4,0.26,0.44,0.29,0.42,0.31
8,0.72,0.95,0.63,0.96,0.80
16,1.54,1.61,1.66,2.16,1.86
32,4.93,4.87,4.46,5.54,4.97
