NumberThread, Run1, Run2, Run3, Run4, Run5
1,0.40,0.39,0.39,0.39,0.39
2,0.39,0.39,0.39,0.39,0.39
4,0.39,0.39,0.39,0.39,0.39
8,0.39,0.40,0.39,0.40,0.40
16,0.39,0.39,0.39,0.40,0.40
32,0.41,0.62,0.39,0.44,0.44
