NumberThread, Run1, Run2, Run3, Run4, Run5
1,0.27,0.19,0.29,0.20,0.22
2,0.10,0.21,0.19,0.16,0.14
4,0.11,0.08,0.08,0.08,0.09
8,0.09,0.11,0.08,0.09,0.08
16,0.09,0.09,0.06,0.08,0.08
32,0.10,0.07,0.06,0.06,0.06
